order_id,date,time
1,01/01/2015,11:38:36 AM
2,01/01/2015,11:57:40 AM
3,01/01/2015,12:12:28 PM
4,01/01/2015,12:16:31 PM
5,01/01/2015,12:21:30 PM
6,01/01/2015,12:29:36 PM
7,01/01/2015,12:50:37 PM
8,01/01/2015,12:51:37 PM
9,01/01/2015,12:52:01 PM
10,01/01/2015,1:00:15 PM
11,01/01/2015,1:02:59 PM
12,01/01/2015,1:04:41 PM
13,01/01/2015,1:11:55 PM
14,01/01/2015,1:14:19 PM
15,01/01/2015,1:33:00 PM
16,01/01/2015,1:34:07 PM
17,01/01/2015,1:53:00 PM
18,01/01/2015,1:57:08 PM
19,01/01/2015,1:59:09 PM
20,01/01/2015,2:03:08 PM
21,01/01/2015,2:14:29 PM
22,01/01/2015,2:16:26 PM
23,01/01/2015,2:19:03 PM
24,01/01/2015,2:23:01 PM
25,01/01/2015,2:44:44 PM
26,01/01/2015,2:54:26 PM
27,01/01/2015,3:11:17 PM
28,01/01/2015,3:35:46 PM
29,01/01/2015,3:41:01 PM
30,01/01/2015,3:41:25 PM
31,01/01/2015,3:50:18 PM
32,01/01/2015,3:53:18 PM
33,01/01/2015,3:54:08 PM
34,01/01/2015,4:21:21 PM
35,01/01/2015,4:32:04 PM
36,01/01/2015,4:54:09 PM
37,01/01/2015,4:56:09 PM
38,01/01/2015,5:03:00 PM
39,01/01/2015,5:07:23 PM
40,01/01/2015,5:14:36 PM
41,01/01/2015,5:15:20 PM
42,01/01/2015,5:28:09 PM
43,01/01/2015,5:38:34 PM
44,01/01/2015,5:54:20 PM
45,01/01/2015,5:55:48 PM
46,01/01/2015,6:25:51 PM
47,01/01/2015,6:26:34 PM
48,01/01/2015,6:26:42 PM
49,01/01/2015,6:33:00 PM
50,01/01/2015,6:41:01 PM
51,01/01/2015,6:48:28 PM
52,01/01/2015,6:53:02 PM
53,01/01/2015,6:54:17 PM
54,01/01/2015,7:01:45 PM
55,01/01/2015,7:03:19 PM
56,01/01/2015,7:07:00 PM
57,01/01/2015,7:10:51 PM
58,01/01/2015,7:30:40 PM
59,01/01/2015,7:40:08 PM
60,01/01/2015,8:05:16 PM
61,01/01/2015,8:08:43 PM
62,01/01/2015,8:50:16 PM
63,01/01/2015,8:51:42 PM
64,01/01/2015,8:52:08 PM
65,01/01/2015,9:16:00 PM
66,01/01/2015,9:47:55 PM
67,01/01/2015,10:03:40 PM
68,01/01/2015,10:07:32 PM
69,01/01/2015,10:12:13 PM
70,02/01/2015,11:38:51 AM
71,02/01/2015,11:40:50 AM
72,02/01/2015,11:57:25 AM
73,02/01/2015,11:58:56 AM
74,02/01/2015,12:01:12 PM
75,02/01/2015,12:10:15 PM
76,02/01/2015,12:21:17 PM
77,02/01/2015,12:22:46 PM
78,02/01/2015,12:28:14 PM
79,02/01/2015,12:29:11 PM
80,02/01/2015,12:35:38 PM
81,02/01/2015,12:40:01 PM
82,02/01/2015,12:45:51 PM
83,02/01/2015,12:53:27 PM
84,02/01/2015,1:13:41 PM
85,02/01/2015,1:34:49 PM
86,02/01/2015,1:40:31 PM
87,02/01/2015,2:01:02 PM
88,02/01/2015,2:10:08 PM
89,02/01/2015,2:30:19 PM
90,02/01/2015,3:08:48 PM
91,02/01/2015,3:14:43 PM
92,02/01/2015,3:17:02 PM
93,02/01/2015,3:29:31 PM
94,02/01/2015,4:17:16 PM
95,02/01/2015,4:18:04 PM
96,02/01/2015,4:21:20 PM
97,02/01/2015,4:45:33 PM
98,02/01/2015,5:18:18 PM
99,02/01/2015,5:45:42 PM
100,02/01/2015,5:46:17 PM
101,02/01/2015,5:51:33 PM
102,02/01/2015,5:54:04 PM
103,02/01/2015,6:02:09 PM
104,02/01/2015,6:02:12 PM
105,02/01/2015,6:12:01 PM
106,02/01/2015,6:12:13 PM
107,02/01/2015,6:25:09 PM
108,02/01/2015,6:25:25 PM
109,02/01/2015,6:27:50 PM
110,02/01/2015,6:36:19 PM
111,02/01/2015,6:38:01 PM
112,02/01/2015,6:41:40 PM
113,02/01/2015,6:50:21 PM
114,02/01/2015,6:59:32 PM
115,02/01/2015,7:05:17 PM
116,02/01/2015,7:18:49 PM
117,02/01/2015,7:23:02 PM
118,02/01/2015,7:26:59 PM
119,02/01/2015,7:32:29 PM
120,02/01/2015,7:35:07 PM
121,02/01/2015,7:38:48 PM
122,02/01/2015,7:50:19 PM
123,02/01/2015,8:12:09 PM
124,02/01/2015,8:12:34 PM
125,02/01/2015,8:31:06 PM
126,02/01/2015,8:53:42 PM
127,02/01/2015,8:58:23 PM
128,02/01/2015,9:05:06 PM
129,02/01/2015,9:13:02 PM
130,02/01/2015,9:14:55 PM
131,02/01/2015,9:33:10 PM
132,02/01/2015,9:42:45 PM
133,02/01/2015,10:00:17 PM
134,02/01/2015,10:13:24 PM
135,02/01/2015,10:29:34 PM
136,02/01/2015,10:32:49 PM
137,03/01/2015,11:34:10 AM
138,03/01/2015,11:44:50 AM
139,03/01/2015,11:57:39 AM
140,03/01/2015,12:26:44 PM
141,03/01/2015,1:16:01 PM
142,03/01/2015,1:33:59 PM
143,03/01/2015,1:41:36 PM
144,03/01/2015,1:44:28 PM
145,03/01/2015,1:53:48 PM
146,03/01/2015,2:22:10 PM
147,03/01/2015,2:32:51 PM
148,03/01/2015,2:40:42 PM
149,03/01/2015,2:48:45 PM
150,03/01/2015,2:49:58 PM
151,03/01/2015,3:09:34 PM
152,03/01/2015,3:09:42 PM
153,03/01/2015,3:16:34 PM
154,03/01/2015,3:22:43 PM
155,03/01/2015,3:28:59 PM
156,03/01/2015,3:42:19 PM
157,03/01/2015,3:43:03 PM
158,03/01/2015,3:54:30 PM
159,03/01/2015,3:59:22 PM
160,03/01/2015,4:35:33 PM
161,03/01/2015,4:43:46 PM
162,03/01/2015,4:51:22 PM
163,03/01/2015,4:54:54 PM
164,03/01/2015,4:56:33 PM
165,03/01/2015,4:57:37 PM
166,03/01/2015,4:58:51 PM
167,03/01/2015,5:00:49 PM
168,03/01/2015,5:02:27 PM
169,03/01/2015,5:15:48 PM
170,03/01/2015,5:21:31 PM
171,03/01/2015,5:23:03 PM
172,03/01/2015,5:29:24 PM
173,03/01/2015,5:35:30 PM
174,03/01/2015,5:37:49 PM
175,03/01/2015,5:50:51 PM
176,03/01/2015,5:51:57 PM
177,03/01/2015,5:54:36 PM
